origin,dest,cost
51167,51790,432.8
51187,51790,83
51165,51790,148.8
51195,51790,470.1
51083,51790,271.3
51053,51790,188.2
51117,51790,241.4
51031,51790,252.3
51007,51790,182.1
51036,51790,169.9
51017,51790,239.2
51127,51790,161
51181,51790,199.5
51790,51790,172.2
51600,51790,17.8
51091,51790,220.7
51690,51790,330.3
51191,51790,395
51139,51790,120.2
51073,51790,192.3
51069,51790,95.3
51093,51790,217.8
51095,51790,179.7
51067,51790,297
51003,51790,162.9
51099,51790,104.9
51125,51790,203.2
51175,51790,231.5
51061,51790,57.2
51005,51790,251
51153,51790,43.3
51041,51790,170.8
51027,51790,453.9
51149,51790,177.7
51089,51790,328.8
51185,51790,397.5
51131,51790,287.2
51141,51790,357.1
51145,51790,169.9
51171,51790,108.8
51193,51790,141.1
51177,51790,99.7
51033,51790,110.2
51023,51790,250.6
51163,51790,210.3
51133,51790,175.5
51051,51790,488.8
51179,51790,66
51085,51790,114.9
51015,51790,178.6
51081,51790,208.3
51037,51790,254.2
51143,51790,292.6
51119,51790,180.3
51159,51790,148
51059,51790,19.8
51029,51790,212.9
51199,51790,196.4
51147,51790,220
51057,51790,135.6
51097,51790,157.8
51157,51790,93.6
51019,51790,265.7
51121,51790,298.4
51107,51790,41.3
51109,51790,140.1
51047,51790,84.2
51087,51790,136
51155,51790,310.8
51101,51790,139.9
51009,51790,229.5
51113,51790,116.5
51137,51790,115.6
51001,51790,332.5
51161,51790,269.8
51043,51790,77.9
51820,51790,181.8
51183,51790,193.3
51079,51790,136.1
51740,51790,234.7
51520,51790,408.8
51660,51790,144.8
51510,51790,27.7
51650,51790,208.4
51021,51790,351.4
51730,51790,164.1
51610,51790,13.1
51197,51790,344.4
51680,51790,239.3
51710,51790,225.1
51700,51790,201.4
51540,51790,152
51013,51790,18.4
51550,51790,256.6
51670,51790,157
51035,51790,351.3
51115,51790,212.6
51077,51790,376.2
51640,51790,359.4
51775,51790,263.4
51620,51790,232.7
51830,51790,182.5
51570,51790,155.8
51720,51790,466
51760,51790,135.8
51105,51790,499.4
51071,51790,331.4
51590,51790,307.7
51011,51790,245.9
51630,51790,71.7
51800,51790,230.5
51075,51790,160.5
51025,51790,217.9
51135,51790,218.2
51045,51790,292.4
51580,51790,247.8
51678,51790,207.3
51810,51790,256.3
51173,51790,368.1
51683,51790,40.8
51770,51790,263.3
51049,51790,191.2
51595,51790,205
51111,51790,239.2
51750,51790,303.4
51735,51790,211
51840,51790,87.1
51065,51790,162.8
51103,51790,184.3
51169,51790,474.7
51063,51790,319.8
51530,51790,211.6
51685,51790,34.8
51167,51153,392.4
51187,51153,197.4
51165,51153,185.9
51195,51153,429.7
51083,51153,132.1
51053,51153,29.6
51117,51153,82.8
51031,51153,152
51007,51153,64.3
51036,51153,43.3
51017,51153,225
51127,51153,59.3
51181,51153,57.5
51790,51153,154.1
51600,51153,153.7
51091,51153,207.8
51690,51153,191.8
51191,51153,354.6
51139,51153,193.9
51073,51153,91.3
51069,51153,220.8
51093,51153,63.7
51095,51153,78
51067,51153,227.2
51003,51153,120.4
51099,51153,111.2
51125,51153,161.5
51175,51153,77.4
51061,51153,153.2
51005,51153,228
51153,51153,141.7
51041,51153,42.4
51027,51153,413.5
51149,51153,26.8
51089,51153,192.9
51185,51153,357.1
51131,51153,162.4
51141,51153,231.6
51145,51153,61.4
51171,51153,217.5
51193,51153,117.4
51177,51153,101.4
51033,51153,83.1
51023,51153,227.3
51163,51153,187.3
51133,51153,128.5
51051,51153,448.4
51179,51153,112.6
51085,51153,55.5
51015,51153,158.4
51081,51153,53.3
51037,51153,114.9
51143,51153,177.2
51119,51153,89
51159,51153,101
51059,51153,155.3
51029,51153,119.6
51199,51153,94.6
51147,51153,89.4
51057,51153,95
51097,51153,88
51157,51153,179.5
51019,51153,173
51121,51153,258
51107,51153,187.4
51109,51153,103.1
51047,51153,143
51087,51153,35.2
51155,51153,270.4
51101,51153,68.4
51009,51153,170.5
51113,51153,151.3
51137,51153,131.6
51001,51153,207.7
51161,51153,227.3
51043,51153,205.7
51820,51153,142.3
51183,51153,38.3
51079,51153,140.2
51740,51153,91
51520,51153,368.4
51660,51153,175.7
51510,51153,153.1
51650,51153,102.2
51021,51153,311
51730,51153,4.3
51610,51153,159.1
51197,51153,304
51680,51153,147.3
51710,51153,100.4
51700,51153,99.7
51540,51153,113.1
51013,51153,158.4
51550,51153,107.6
51670,51153,12.5
51035,51153,284.6
51115,51153,112.3
51077,51153,333.9
51640,51153,301.2
51775,51153,222.9
51620,51153,78.6
51830,51153,80.5
51570,51153,15.6
51720,51153,425.6
51760,51153,36.1
51105,51153,459
51071,51153,291
51590,51153,160.4
51011,51153,117.4
51630,51153,96.7
51800,51153,76.4
51075,51153,77.8
51025,51153,59.3
51135,51153,59.7
51045,51153,259.6
51580,51153,224.7
51678,51153,184.3
51810,51153,119.2
51173,51153,327.7
51683,51153,145.9
51770,51153,211.5
51049,51153,86
51595,51153,50
51111,51153,80.9
51750,51153,263
51735,51153,109.3
51840,51153,212.9
51065,51153,107.8
51103,51153,123.9
51169,51153,434.3
51063,51153,271.2
51530,51153,188.6
51685,51153,147.3
51167,51041,463.8
51187,51041,245.4
51165,51041,239.9
51195,51041,501
51083,51041,206.9
51053,51041,120
51117,51041,157.6
51031,51041,242.9
51007,51041,143.5
51036,51041,73.6
51017,51041,279
51127,51041,69.9
51181,51041,57.7
51790,51041,208.1
51600,51041,201.8
51091,51041,261.8
51690,51041,266.6
51191,51041,425.9
51139,51041,247.8
51073,51041,50.7
51069,51041,268.9
51093,51041,34.8
51095,51041,46.3
51067,51041,304.5
51003,51041,174.4
51099,51041,159.3
51125,51041,215.5
51175,51041,76.6
51061,51041,201.3
51005,51041,281.9
51153,51041,189.8
51041,51041,122.7
51027,51041,484.8
51149,51041,92.3
51089,51041,267.7
51185,51041,428.4
51131,51041,88.9
51141,51041,306.4
51145,51041,134.8
51171,51041,271.3
51193,51041,138.5
51177,51041,149.5
51033,51041,128.6
51023,51041,281.6
51163,51041,241.3
51133,51041,124.2
51051,51041,519.7
51179,51041,160.6
51085,51041,103.5
51015,51041,212.4
51081,51041,103.6
51037,51041,205.8
51143,51041,252
51119,51041,79.3
51159,51041,122.2
51059,51041,203.4
51029,51041,193
51199,51041,35.6
51147,51041,180.3
51057,51041,122.8
51097,51041,95.6
51157,51041,227.5
51019,51041,263.9
51121,51041,329.3
51107,51041,235.4
51109,51041,155
51047,51041,191.1
51087,51041,84.7
51155,51041,341.7
51101,51041,95.1
51009,51041,241.8
51113,51041,205.3
51137,51041,183.5
51001,51041,134.2
51161,51041,300.8
51043,51041,253.8
51820,51041,196.3
51183,51041,87.8
51079,51041,194.1
51740,51041,31.9
51520,51041,439.7
51660,51041,229.7
51510,51041,201.2
51650,51041,10
51021,51041,382.3
51730,51041,93.3
51610,51041,207.2
51197,51041,375.4
51680,51041,238.2
51710,51041,26.8
51700,51041,18.2
51540,51041,167.1
51013,51041,206.5
51550,51041,54.9
51670,51041,95.8
51035,51041,359.4
51115,51041,74
51077,51041,407.2
51640,51041,376
51775,51041,294.3
51620,51041,62.7
51830,51041,38.3
51570,51041,105
51720,51041,497
51760,51041,94.8
51105,51041,530.3
51071,51041,362.4
51590,51041,235.2
51011,51041,208.3
51630,51041,144.8
51800,51041,44.8
51075,51041,131.8
51025,51041,123
51135,51041,150.6
51045,51041,323.4
51580,51041,278.7
51678,51041,238.3
51810,51041,58
51173,51041,399
51683,51041,194
51770,51041,294.2
51049,51041,159.4
51595,51041,98.2
51111,51041,171.8
51750,51041,334.3
51735,51041,22
51840,51041,260.9
51065,51041,161.8
51103,51041,108.4
51169,51041,505.7
51063,51041,346
51530,51041,242.6
51685,51041,195.4
51167,51085,435.6
51187,51085,85.7
51165,51085,151.5
51195,51085,472.8
51083,51085,277.3
51053,51085,194.1
51117,51085,247.3
51031,51085,255.1
51007,51085,188
51036,51085,175.9
51017,51085,241.9
51127,51085,166.9
51181,51085,205.5
51790,51085,174.9
51600,51085,22.7
51091,51085,223.4
51690,51085,333
51191,51085,397.7
51139,51085,123
51073,51085,198.3
51069,51085,88.8
51093,51085,223.7
51095,51085,185.7
51067,51085,299.8
51003,51085,165.6
51099,51085,110.9
51125,51085,206
51175,51085,237.5
51061,51085,59.9
51005,51085,253.7
51153,51085,45.4
51041,51085,176.7
51027,51085,456.6
51149,51085,183.6
51089,51085,331.6
51185,51085,400.2
51131,51085,293.2
51141,51085,359.8
51145,51085,175.8
51171,51085,111.6
51193,51085,147.1
51177,51085,105.7
51033,51085,116.1
51023,51085,253.4
51163,51085,213.1
51133,51085,181.4
51051,51085,491.5
51179,51085,71.9
51085,51085,120.9
51015,51085,181.4
51081,51085,214.3
51037,51085,260.1
51143,51085,295.3
51119,51085,186.2
51159,51085,154
51059,51085,24.7
51029,51085,215.6
51199,51085,202.3
51147,51085,225.9
51057,51085,141.5
51097,51085,163.8
51157,51085,96.3
51019,51085,268.4
51121,51085,301.1
51107,51085,37.2
51109,51085,146
51047,51085,86.9
51087,51085,141.9
51155,51085,313.5
51101,51085,145.9
51009,51085,232.3
51113,51085,119.2
51137,51085,118.6
51001,51085,338.4
51161,51085,272.6
51043,51085,71.4
51820,51085,184.6
51183,51085,199.2
51079,51085,138.9
51740,51085,240.6
51520,51085,411.5
51660,51085,147.5
51510,51085,32.4
51650,51085,214.3
51021,51085,354.1
51730,51085,170.1
