lon,lat,GEOID,capacity
-76.181906,36.8418654,51195,461
-80.0234938,37.2997396,51191,931
-77.5145557,38.7945428,51073,181
-76.2174283,36.914334,51069,230
-78.9390334,38.2781364,51003,3462
-77.4329945,37.6468246,51005,29
-76.1381446,36.8278959,51153,1515
-79.1740764,37.404822,51041,314
-79.183912,37.3593436,51041,3370
-76.2277695,36.7660867,51041,164
-76.5173449,37.1405107,51149,195
-76.2327598,36.9083505,51089,213
-77.5432227,37.4993366,51185,160
-76.064528,36.8375601,51177,99
-77.373918,37.348819,51015,159
-77.4344968,38.8380326,51059,185
-77.2490916,38.9284029,51059,371
-79.851929,37.8118233,51059,1075
-79.4091964,36.5644841,51059,2411
-75.7463725,37.6441571,51121,677
-77.4955945,38.241156,51087,190
-76.178872,36.8425384,51087,14353
-76.190283,36.8470197,51087,454
-77.4870506,37.5804978,51155,507
-77.7798052,38.3752082,51137,7679
-77.4758617,37.6340816,51001,7759
-77.4077974,37.3466091,51650,9440
-80.4150376,37.1161929,51197,NA
-78.266852600000007,39.0351031,51680,6337
-82.7599351,36.8543213,51680,2253
-80.695624,37.1052302,51680,4137
-77.2380855,38.8363305,51710,52873
-79.8748169,36.7397709,51710,2050
-76.9378049,36.6744182,51710,1237
-78.4844292,38.0069995,51710,4864
-76.623862,37.5643561,51700,2629
-77.3964344,37.1566711,51700,2218
-76.4562635,37.0349489,51550,303
-77.4002174,37.2677188,51775,115
-77.9163459,36.8392995,51620,3123
-81.7497988,37.0632891,51570,2295
-79.3886434,36.5884912,51590,13
-77.2105854,38.9079727,51590,441
-76.4186005,37.0634225,51025,6256
-76.2913302,36.850098,51810,16769
-82.001486,36.6994053,51810,2086
-79.1515461,37.3951947,51810,244
-79.9737355,37.246308,51810,5738
-76.0433612,36.8645978,51810,41
-81.0729252,36.9525203,51770,2244
