lon,lat,GEOID,capacity
-80.0234938,37.2997396,51041100206,931
-76.4093118,37.0403518,51510200701,35
-81.9794579,37.22531,51510200701,180
-82.0964692,37.2780504,51810045603,170
-79.4130591,36.577241,51810045603,887
-79.4130591,36.577241,51009010200,472
-81.2462472,37.2445422,51660000401,965
-80.4060554,37.1996852,51710005903,NA
-77.4329945,37.6468246,51540000202,456
-78.9693896,38.3782559,51041100922,1597
-76.3929135,37.0438244,51550020906,NA
-77.5423269,37.4601762,51147930300,NA
-76.1381446,36.8278959,51680001400,1515
-79.1740764,37.404822,51027010100,314
-76.2277695,36.7660867,51107610702,164
-76.064528,36.8375601,51147930203,99
-77.2204864,38.9104236,51840000301,622
-76.4899457,37.0608093,51630000301,4868
-77.0498801,38.8610296,51027010600,188
-77.4374774,38.9797051,51710004700,392
-78.8767117,38.4748022,51810046005,1394
-76.3007998,36.8613303,51810045604,1289
-76.178872,36.8425384,51760050500,14353
-76.4749656,37.086799,51107611015,NA
-79.9594012,37.3198883,51760010402,NA
-76.213917,36.879167,51013101603,NA
-77.5776046,37.6544715,51041100928,NA
-77.4956357,38.8067477,51770000300,NA
-76.4620452,37.0907845,51710004002,NA
-77.5813783,37.5007592,51087200305,NA
-77.526639,37.6088524,51059460501,NA
-76.176515,36.841856,51830370100,NA
-80.4060554,37.1996852,51121020700,2123
-81.8308469,36.7732137,51121020700,1230
-77.3477866,38.8491012,51775010100,65
-80.0206987,36.9264771,51775010200,972
-77.307995,38.8349761,51059440100,38541
-78.4592625,37.2390019,51059471301,881
-76.336578,37.0204446,51770000400,3516
-79.9537839,37.323442,51650011400,795
-77.2273043,38.915249,51185020200,254
-78.8716115,38.4400229,51700031400,21594
-79.1770145,37.3530503,51700031800,93349
-78.3944433,37.3011542,51760040300,4841
-77.5858052,37.6388387,51680000801,76
-79.0692549,38.1538783,51790000500,2110
-77.1272135,38.9056645,51191010602,3294
-76.2599281,36.8462828,51087200127,5457
-76.3039779,36.8839664,51650010313,24286
-77.6910112,39.1386237,51013101802,340
-80.5510635,37.1398766,51153901602,10695
-79.1711433,37.4382161,51650010312,566
-77.4781292,37.7608335,51810046219,1554
-76.1937881,36.8009596,51710002500,10483
-76.4562635,37.0349489,51165011500,303
-80.0558935,37.2956975,51087200129,1920
-76.2432961,36.7769628,51810040200,341
-78.1583626,39.1660132,51059440502,4174
-77.5998433,37.6470572,51085320601,412
-76.124284,36.8336023,51550020805,403
-79.3501199,37.7403616,51550020805,1140
-77.0830371,38.8017825,51750010102,1947
-77.080145,38.8016278,51107611020,NA
-76.2585905,36.7665174,51087200128,NA
-77.6982568,37.5113405,51195931400,NA
-77.497984400000007,38.3363918,51153900403,NA
-77.5922981,37.6859889,51660000206,NA
-77.4373045,39.0482386,51067020600,NA
-77.5091798,38.8050683,51590000700,NA
-76.4739313,37.1058418,51590000700,NA
-77.0850922,38.8910064,51678930500,4797
-76.1341894,36.8429901,51678930500,NA
-77.301479,38.6577312,51810046207,NA
-79.081011,37.5567346,51059490502,362
-76.1322277,36.8424089,51680001900,223
-82.5604501,36.9707461,51680000203,1905
-77.4492786,37.578937,51530930600,169
-79.183153,37.4006002,51059460502,2692
-77.072047,38.897442,51013103402,295
-77.4725818,38.3014232,51153901503,4293
-77.5404459,37.5768593,51087200904,4056
-77.2159938,38.906889,51013100300,197
-78.5026341,38.0370443,51810046009,25628
-76.189384,36.7664784,51810046009,35
-77.4526597,37.5496312,51087200119,29070
-79.4378109,37.7913335,51700032128,1698
-80.423338,37.22872,51700032128,37024
-77.4198758,37.2364644,51700032128,4020
-77.4510277,37.5614323,51179010303,1516
-77.2697534,38.8445181,51760011100,362
-79.1515461,37.3951947,51041100600,244
-76.187809,36.873669,51810042600,1347
-79.4440548,37.7862788,51121020100,2183
-76.709328,37.271949,51680000100,8939
