name,address,phone,website,type,degrees,campus_setting,campus_housing,student_population,student_teacher_ratio,tot_enrol,undergrad_enrol,latitude,longitude,geoid
Mountain Empire Community College,3441 Mountain Empire Road Big Stone Gap Virginia 24219,(276) 523-2400,www.mecc.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Town: Distant,No,"2,253 (all undergraduate)",19 to 1,2253.0,all,36.8543213,-82.7599351,51121021000
New River Community College,5251 College Drive Dublin Virginia 24084-3660,(540) 674-3600,www.nr.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificate,Town: Fringe,No,"4,137 (all undergraduate)",30 to 1,4137.0,all,37.1052302,-80.695624,51069050700
Northern Virginia Community College,4001 Wakefield Chapel Rd Annandale Virginia 22003-3796,(703) 323-3000,www.nvcc.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Suburb: Large,No,"52,873 (all undergraduate)",28 to 1,52873.0,all,38.8363305,-77.2380855,51680001900
Patrick Henry Community College,645 Patriot Avenue Martinsville Virginia 24112,(276) 656-0200,www.patrickhenry.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Rural: Fringe,No,"2,050 (all undergraduate)",18 to 1,2050.0,all,36.7397709,-79.8748169,51680001600
Paul D Camp Community College,100 N College Dr Franklin Virginia 23851,(757) 569-6700,www.pdc.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Town: Distant,No,"1,237 (all undergraduate)",16 to 1,1237.0,all,36.6744182,-76.9378049,51590000500
Piedmont Virginia Community College,501 College Drive Charlottesville Virginia 22902-7589,(434) 977-3900,www.pvcc.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Suburb: Small,No,"4,864 (all undergraduate)",17 to 1,4864.0,all,38.0069995,-78.4844292,51149850501
Rappahannock Community College,12745 College Drive Glenns Virginia 23149-2616,(804) 758-6700,www.rappahannock.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Rural: Distant,No,"2,629 (all undergraduate)",18 to 1,2629.0,all,37.5643561,-76.623862,51620090100
Richard Bland College,11301 Johnson Road South Prince George Virginia 23805-7100,(804) 862-6100,www.rbc.edu/,"2-year, Public",Less than one year certificateAssociate's degree,Rural: Fringe,Yes,"2,218 (all undergraduate)",27 to 1,2218.0,all,37.1566711,-77.3964344,51087200904
Riverside College of Health Careers,316 Main Street Newport News Virginia 23601,(757) 240-2200,riverside.edu/,"4-year, primarily associate's, Private not-for-profit",One but less than two years certificateAssociate's degreeBachelor's degree,City: Midsize,No,303 (all undergraduate),11 to 1,303.0,all,37.0349489,-76.4562635,51025930100
Southside College of Health Sciences,430 Clairmont Court - Suite 200 Colonial Heights Virginia 23834,(804) 765-5800,www.srmconline.com/,"2-year, Private for-profit",Associate's degree,Suburb: Large,No,115 (all undergraduate),"8 to 1View noteStudent to faculty ratio in clinical is 8:1 or less, and in class the ratio is no more than 32:1",115.0,all,37.2677188,-77.4002174,51191010502
Southside Virginia Community College,109 Campus Drive Alberta Virginia 23821,(888) 220-7822,www.southside.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificate,Rural: Distant,No,"3,123 (all undergraduate)",21 to 1,3123.0,all,36.8392995,-77.9163459,51810046009
Southwest Virginia Community College,369 College Road       US Rt. 19 6 Miles S. Claypool Hill Cedar Bluff Virginia 24609,(276) 964-2555,sw.edu/,"2-year, Public",One but less than two years certificateAssociate's degree,Rural: Fringe,No,"2,295 (all undergraduate)",19 to 1,2295.0,all,37.0632891,-81.7497988,51810046009
Sovah School of Health Professions,109 Bridge St. Suite 200 Danville Virginia 24541,(434) 799-2271,www.sovahhealth.com/careers-education/school-of-health-professions,"2-year, Private for-profit",Associate's degree,Town: Distant,No,13 (all undergraduate),3 to 1,13.0,all,36.5884912,-79.3886434,51059460400
Standard Healthcare Services-College of Nursing,7704 Leesburg Pike Suite 1000 Falls Church Virginia 22043,(703) 891-1787,www.standardcollege.edu/,"2-year, Private for-profit",One but less than two years certificateAssociate's degree,Suburb: Large,No,441 (all undergraduate),35 to 1,441.0,all,38.9079727,-77.2105854,51185020400
Thomas Nelson Community College,99 Thomas Nelson Drive Hampton Virginia 23666,(757) 825-2700,tncc.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,City: Midsize,No,"6,256 (all undergraduate)",18 to 1,6256.0,all,37.0634225,-76.4186005,51810042600
Tidewater Community College,121 College Place Norfolk Virginia 23510,(757) 822-1122,www.tcc.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,City: Midsize,No,"16,769 (all undergraduate)",20 to 1,16769.0,all,36.850098,-76.2913302,51137110103
Virginia Highlands Community College,100 VHCC Drive Abingdon Virginia 24212-0828,(276) 739-2400,www.vhcc.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificate,Suburb: Small,No,"2,086 (all undergraduate)",19 to 1,2086.0,all,36.6994053,-82.001486,51770003000
Virginia University of Lynchburg,2058 Garfield Ave Lynchburg Virginia 24501,(434) 528-5276 x1145,www.vul.edu/,"4-year, primarily associate's, Private not-for-profit",One but less than two years certificateAssociate's degreeBachelor's degreeMaster's degreeDoctor's degree,City: Small,Yes,244 (122 undergraduate),14 to 1,244.0,122,37.3951947,-79.1515461,51059440800
Virginia Western Community College,3094 Colonial Ave Roanoke Virginia 24015,(540) 857-8922,virginiawestern.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,City: Small,No,"5,738 (all undergraduate)",22 to 1,5738.0,all,37.246308,-79.9737355,51710006605
Wave Leadership College,1000 North Great Neck Road Virginia Beach Virginia 23454-2140,(757) 401-6426,wavecollege.edu/,"2-year, Private not-for-profit",Associate's degree,City: Large,No,41 (all undergraduate),8 to 1,41.0,all,36.8645978,-76.0433612,51810044402
Wytheville Community College,1000 E Main Street Wytheville Virginia 24382-3308,(276) 223-4700,www.wcc.vccs.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificate,Town: Distant,No,"2,244 (all undergraduate)",24 to 1,2244.0,all,36.9525203,-81.0729252,51197050200
