name,address,phone,website,type,degrees,campus_setting,campus_housing,student_population,student_teacher_ratio,tot_enrol,undergrad_enrol,latitude,longitude,geoid
Advanced Technology Institute,5700 Southern Blvd Ste 100 Virginia Beach Virginia 23462,(757) 490-1241,www.auto.edu/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,City: Large,No,461 (all undergraduate),14 to 1,461.0,all,36.8418654,-76.181906,51700032113
American National University,1813 East Main Street Salem Virginia 24153,(540) 986-1800,www.an.edu/locations/,"4-year, primarily associate's, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreeMaster's degree,Suburb: Midsize,No,931 (810 undergraduate),39 to 1,931.0,810,37.2997396,-80.0234938,51710004900
Aviation Institute of Maintenance-Manassas,10640 Davidson Place Manassas Virginia 20109,(703) 257-5515,www.aviationmaintenance.edu/campuses/washington-dc-va/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateTwo but less than 4 years certificate,Suburb: Large,No,181 (all undergraduate),11 to 1,181.0,all,38.7945428,-77.5145557,51710006901
Aviation Institute of Maintenance-Norfolk,2329 E. Little Creek Road Norfolk Virginia 23518,(757) 363-2121,www.aviationmaintenance.edu/campuses/norfolk-va/,"2-year, Private for-profit",One but less than two years certificateTwo but less than 4 years certificate,City: Midsize,No,230 (all undergraduate),15 to 1,230.0,all,36.914334,-76.2174283,51059471100
Blue Ridge Community College,1 College Lane Weyers Cave Virginia 24486-0080,(540) 234-9261,www.brcc.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Rural: Fringe,No,"3,462 (all undergraduate)",18 to 1,3462.0,all,38.2781364,-78.9390334,51041100107
Bon Secours St Mary's Hospital School of Medical Imaging,8550 Magellan Pkwy Ste 700 Richmond Virginia 23227,(804) 627-5408,www.mysomi.org/,"2-year, Private not-for-profit",Two but less than 4 years certificate,Suburb: Large,No,29 (all undergraduate),5 to 1,29.0,all,37.6468246,-77.4329945,51570830200
Bryant & Stratton College-Virginia Beach,301 Centre Pointe Dr Virginia Beach Virginia 23462,(757) 499-7900,www.bryantstratton.edu/,"4-year, primarily associate's, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degree,City: Large,No,"1,515 (all undergraduate)",18 to 1,1515.0,all,36.8278959,-76.1381446,51810046005
Centra College,905 Lakeside Dr. Suite A Lynchburg Virginia 24501,(434) 200-3070,www.centrahealth.com/ccon,"4-year, primarily associate's, Private not-for-profit",One but less than two years certificateAssociate's degreeBachelor's degree,City: Small,No,314 (all undergraduate),11 to 1,314.0,all,37.404822,-79.1740764,51059491303
Central Virginia Community College,3506 Wards Rd Lynchburg Virginia 24502-2498,(434) 832-7600,www.centralvirginia.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificate,City: Small,No,"3,370 (all undergraduate)",19 to 1,3370.0,all,37.3593436,-79.183912,51590001000
Centura College-Chesapeake,932 B Ventures Way Chesapeake Virginia 23320,(757) 549-2121,www.centuracollege.edu/campuses/chesapeake/,"4-year, primarily associate's, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degree,Suburb: Large,No,164 (all undergraduate),14 to 1,164.0,all,36.7660867,-76.2277695,51177020204
Centura College-Newport News,616 Denbigh Blvd. Newport News Virginia 23608,(757) 874-2121,www.centuracollege.edu/campuses/newport-news/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,City: Midsize,No,195 (all undergraduate),13 to 1,195.0,all,37.1405107,-76.5173449,51015070300
Centura College-Norfolk,7020 North Military Highway Norfolk Virginia 23518-4833,(757) 853-2121,www.centuracollege.edu/campuses/norfolk/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,City: Midsize,No,213 (all undergraduate),8 to 1,213.0,all,36.9083505,-76.2327598,51073100100
Centura College-Richmond Main,7914 Midlothian Turnpike North Chesterfield Virginia 23235-5250,(804) 330-0111,www.centuracollege.edu/campuses/richmond/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,Suburb: Large,No,160 (all undergraduate),11 to 1,160.0,all,37.4993366,-77.5432227,51155210202
Centura College-Virginia Beach,2697 Dean Dr. Ste. 100 Virginia Beach Virginia 23452-7431,(757) 340-2121 x310,www.centuracollege.edu/campuses/virginia-beach/,"4-year, primarily associate's, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degree,City: Large,No,99 (all undergraduate),8 to 1,99.0,all,36.8375601,-76.064528,51710006606
Chester Career College,751 WEST HUNDRED ROAD CHESTER Virginia 23836,(804) 425-5797,chestercareercollege.edu/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,Suburb: Large,No,159 (all undergraduate),20 to 1,159.0,all,37.348819,-77.373918,51775010100
Columbia College,5940 Centreville Crest Lane Centreville Virginia 20121,(703) 266-0508,www.ccdc.edu/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,Suburb: Large,No,185 (all undergraduate),15 to 1,185.0,all,38.8380326,-77.4344968,51650010304
Columbia College,8620 Westwood Center Drive Vienna Virginia 22182,(703) 206-0508,www.ccdc.edu/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,Suburb: Large,No,371 (all undergraduate),18 to 1,371.0,all,38.9284029,-77.2490916,51005080201
Dabney S Lancaster Community College,1000 Dabney Drive Clifton Forge Virginia 24422-1000,(540) 863-2800,www.dslcc.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Rural: Fringe,No,"1,075 (all undergraduate)",17 to 1,1075.0,all,37.8118233,-79.851929,51087200801
Danville Community College,1008 S Main St Danville Virginia 24541-4004,(434) 797-2222,www.danville.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificate,Town: Distant,No,"2,411 (all undergraduate)",20 to 1,2411.0,all,36.5644841,-79.4091964,51087200502
Eastern Shore Community College,29300 Lankford Hwy Melfa Virginia 23410,(757) 789-1789,www.es.vccs.edu/,"2-year, Public",One but less than two years certificateAssociate's degree,Rural: Remote,No,677 (all undergraduate),16 to 1,677.0,all,37.6441571,-75.7463725,51700031400
Eastern Virginia Career College,10304 Spotsylvania Ave Suite 400 Fredericksburg Virginia 22408,(540) 373-4465 x221,www.evcc.edu/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificate,Suburb: Midsize,No,190 (all undergraduate),7 to 1,190.0,all,38.241156,-77.4955945,51041100505
ECPI University,5555 Greenwich Rd Virginia Beach Virginia 23462,(757) 490-9090,www.ecpi.edu/,"4-year, primarily associate's, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreeMaster's degree,City: Large,No,"14,353 (13,983 undergraduate)",16 to 1,14353.0,13,36.8425384,-76.178872,51680000801
Fortis College-Norfolk,6300 Center Dr Bldg 22 Norfolk Virginia 23502-4101,(757) 499-5447 x1344,www.fortisedu.info/cig-vabeach.php,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,City: Midsize,No,454 (all undergraduate),27 to 1,454.0,all,36.8470197,-76.190283,51153901602
Fortis College-Richmond,2000 Westmoreland Street Suite A Richmond Virginia 23230,(804) 323-1020,www.fortis.edu/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,Suburb: Large,No,507 (all undergraduate),25 to 1,507.0,all,37.5804978,-77.4870506,51195931200
Germanna Community College,2130 Germanna Hwy Locust Grove Virginia 22508-2102,(540) 423-9030,www.germanna.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Rural: Fringe,No,"7,679 (all undergraduate)",25 to 1,7679.0,all,38.3752082,-77.7798052,51003011303
J Sargeant Reynolds Community College,1651 East Parham Road Richmond Virginia 23228-2327,(804) 371-3000,www.reynolds.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Suburb: Large,No,"7,759 (all undergraduate)",21 to 1,7759.0,all,37.6340816,-77.4758617,51550020805
John Tyler Community College,13101 Jefferson Davis Hwy Chester Virginia 23831-5316,(804) 796-4000,jtcc.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Suburb: Large,No,"9,440 (all undergraduate)",22 to 1,9440.0,all,37.3466091,-77.4077974,51001090700
Life Pacific University-Virginia,900 Life Drive Christiansburg Virginia 24073,(540) 394-7200,www.lifepacific.edu/virginiacampus,"2-year, Private not-for-profit",Associate's degree,City: Small,No,Life Pacific University (Parent):Life Pacific University-Virginia,,,,37.1161929,-80.4150376,51089010300
Lord Fairfax Community College,173 Skirmisher Lane Middletown Virginia 22645,(800) 906-5322,www.lfcc.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Rural: Fringe,No,"6,337 (all undergraduate)",23 to 1,6337.0,all,39.0351031,-78.2668526,51041100509
