lon,lat,GEOID,capacity
-76.181906,36.8418654,51700032113,461
-80.0234938,37.2997396,51710004900,931
-77.5145557,38.7945428,51710006901,181
-76.2174283,36.914334,51059471100,230
-78.9390334,38.2781364,51041100107,3462
-77.4329945,37.6468246,51570830200,29
-76.1381446,36.8278959,51810046005,1515
-79.1740764,37.404822,51059491303,314
-79.183912,37.3593436,51590001000,3370
-76.2277695,36.7660867,51177020204,164
-76.5173449,37.1405107,51015070300,195
-76.2327598,36.9083505,51073100100,213
-77.5432227,37.4993366,51155210202,160
-76.064528,36.8375601,51710006606,99
-77.373918,37.348819,51775010100,159
-77.4344968,38.8380326,51650010304,185
-77.2490916,38.9284029,51005080201,371
-79.851929,37.8118233,51087200801,1075
-79.4091964,36.5644841,51087200502,2411
-75.7463725,37.6441571,51700031400,677
-77.4955945,38.241156,51041100505,190
-76.178872,36.8425384,51680000801,14353
-76.190283,36.8470197,51153901602,454
-77.4870506,37.5804978,51195931200,507
-77.7798052,38.3752082,51003011303,7679
-77.4758617,37.6340816,51550020805,7759
-77.4077974,37.3466091,51001090700,9440
-80.4150376,37.1161929,51089010300,NA
-78.266852600000007,39.0351031,51041100509,6337
-82.7599351,36.8543213,51121021000,2253
-80.695624,37.1052302,51069050700,4137
-77.2380855,38.8363305,51680001900,52873
-79.8748169,36.7397709,51680001600,2050
-76.9378049,36.6744182,51590000500,1237
-78.4844292,38.0069995,51149850501,4864
-76.623862,37.5643561,51620090100,2629
-77.3964344,37.1566711,51087200904,2218
-76.4562635,37.0349489,51025930100,303
-77.4002174,37.2677188,51191010502,115
-77.9163459,36.8392995,51810046009,3123
-81.7497988,37.0632891,51810046009,2295
-79.3886434,36.5884912,51059460400,13
-77.2105854,38.9079727,51185020400,441
-76.4186005,37.0634225,51810042600,6256
-76.2913302,36.850098,51137110103,16769
-82.001486,36.6994053,51770003000,2086
-79.1515461,37.3951947,51059440800,244
-79.9737355,37.246308,51710006605,5738
-76.0433612,36.8645978,51810044402,41
-81.0729252,36.9525203,51197050200,2244
