lon,lat,GEOID,capacity
-80.0234938,37.2997396,51165,931
-76.4093118,37.0403518,51195,35
-81.9794579,37.22531,51790,180
-82.0964692,37.2780504,51191,170
-79.4130591,36.577241,51067,887
-79.4130591,36.577241,51153,472
-81.2462472,37.2445422,51153,965
-80.4060554,37.1996852,51153,NA
-77.4329945,37.6468246,51041,456
-78.9693896,38.3782559,51041,1597
-76.3929135,37.0438244,51041,NA
-77.5423269,37.4601762,51041,NA
-76.1381446,36.8278959,51027,1515
-79.1740764,37.404822,51027,314
-76.2277695,36.7660867,51185,164
-76.064528,36.8375601,51179,99
-77.2204864,38.9104236,51085,622
-76.4899457,37.0608093,51059,4868
-77.0498801,38.8610296,51059,188
-77.4374774,38.9797051,51059,392
-78.8767117,38.4748022,51059,1394
-76.3007998,36.8613303,51059,1289
-76.178872,36.8425384,51059,14353
-76.4749656,37.086799,51147,NA
-79.9594012,37.3198883,51147,NA
-76.213917,36.879167,51121,NA
-77.5776046,37.6544715,51121,NA
-77.4956357,38.8067477,51121,NA
-76.4620452,37.0907845,51107,NA
-77.5813783,37.5007592,51107,NA
-77.526639,37.6088524,51107,NA
-76.176515,36.841856,51087,NA
-80.4060554,37.1996852,51087,2123
-81.8308469,36.7732137,51087,1230
-77.3477866,38.8491012,51087,65
-80.0206987,36.9264771,51087,972
-77.307995,38.8349761,51087,38541
-78.4592625,37.2390019,51009,881
-76.336578,37.0204446,51660,3516
-79.9537839,37.323442,51660,795
-77.2273043,38.915249,51510,254
-78.8716115,38.4400229,51510,21594
-79.1770145,37.3530503,51650,93349
-78.3944433,37.3011542,51650,4841
-77.5858052,37.6388387,51650,76
-79.0692549,38.1538783,51680,2110
-77.1272135,38.9056645,51680,3294
-76.2599281,36.8462828,51680,5457
-76.3039779,36.8839664,51680,24286
-77.6910112,39.1386237,51680,340
-80.5510635,37.1398766,51710,10695
-79.1711433,37.4382161,51710,566
-77.4781292,37.7608335,51710,1554
-76.1937881,36.8009596,51710,10483
-76.4562635,37.0349489,51700,303
-80.0558935,37.2956975,51700,1920
-76.2432961,36.7769628,51700,341
-78.1583626,39.1660132,51700,4174
-77.5998433,37.6470572,51700,412
-76.124284,36.8336023,51540,403
-79.3501199,37.7403616,51013,1140
-77.0830371,38.8017825,51013,1947
-77.080145,38.8016278,51013,NA
-76.2585905,36.7665174,51013,NA
-77.6982568,37.5113405,51550,NA
-77.497984400000007,38.3363918,51550,NA
-77.5922981,37.6859889,51550,NA
-77.4373045,39.0482386,51775,NA
-77.5091798,38.8050683,51775,NA
-76.4739313,37.1058418,51830,NA
-77.0850922,38.8910064,51760,4797
-76.1341894,36.8429901,51760,NA
-77.301479,38.6577312,51760,NA
-79.081011,37.5567346,51760,362
-76.1322277,36.8424089,51590,223
-82.5604501,36.9707461,51590,1905
-77.4492786,37.578937,51630,169
-79.183153,37.4006002,51678,2692
-77.072047,38.897442,51678,295
-77.4725818,38.3014232,51810,4293
-77.5404459,37.5768593,51810,4056
-77.2159938,38.906889,51810,197
-78.5026341,38.0370443,51810,25628
-76.189384,36.7664784,51810,35
-77.4526597,37.5496312,51810,29070
-79.4378109,37.7913335,51810,1698
-80.423338,37.22872,51810,37024
-77.4198758,37.2364644,51810,4020
-77.4510277,37.5614323,51810,1516
-77.2697534,38.8445181,51770,362
-79.1515461,37.3951947,51770,244
-76.187809,36.873669,51750,1347
-79.4440548,37.7862788,51840,2183
-76.709328,37.271949,51530,8939
