origin,dest,cost
51167,51195,490.2
51187,51195,271.8
51165,51195,266.3
51195,51195,527.4
51083,51195,208.7
51053,51195,127
51117,51195,159.4
51031,51195,250
51007,51195,163.2
51036,51195,100
51017,51195,305.4
51127,51195,96.3
51181,51195,82.5
51790,51195,234.5
51600,51195,228.2
51091,51195,288.1
51690,51195,268.4
51191,51195,452.3
51139,51195,274.2
51073,51195,77
51069,51195,295.2
51093,51195,56
51095,51195,72.7
51067,51195,306.3
51003,51195,200.7
51099,51195,185.6
51125,51195,241.9
51175,51195,78.4
51061,51195,227.7
51005,51195,308.3
51153,51195,216.1
51041,51195,141.7
51027,51195,511.2
51149,51195,99.3
51089,51195,269.5
51185,51195,454.8
51131,51195,65.7
51141,51195,308.1
51145,51195,160.3
51171,51195,297.6
51193,51195,164.9
51177,51195,175.9
51033,51195,155
51023,51195,308
51163,51195,267.7
51133,51195,150.6
51051,51195,546.1
51179,51195,187
51085,51195,129.9
51015,51195,238.8
51081,51195,105.4
51037,51195,212.9
51143,51195,253.8
51119,51195,105.7
51159,51195,148.5
51059,51195,229.8
51029,51195,218.5
51199,51195,61.9
51147,51195,187.3
51057,51195,149.1
51097,51195,121.9
51157,51195,253.9
51019,51195,271
51121,51195,355.7
51107,51195,261.8
51109,51195,181.4
51047,51195,217.5
51087,51195,111.1
51155,51195,368.1
51101,51195,121.4
51009,51195,268.2
51113,51195,231.6
51137,51195,209.8
51001,51195,110.9
51161,51195,325.3
51043,51195,280.1
51820,51195,222.7
51183,51195,94.9
51079,51195,220.5
51740,51195,21.3
51520,51195,466.1
51660,51195,256.1
51510,51195,227.5
51650,51195,32.3
51021,51195,408.7
51730,51195,100.3
51610,51195,233.5
51197,51195,401.8
51680,51195,245.3
51710,51195,13.2
51700,51195,44.6
51540,51195,193.5
51013,51195,232.8
51550,51195,31.3
51670,51195,106
51035,51195,361.2
51115,51195,100.4
51077,51195,410.4
51640,51195,377.8
51775,51195,320.7
51620,51195,64.5
51830,51195,64.7
51570,51195,114.5
51720,51195,523.3
51760,51195,121.1
51105,51195,556.7
51071,51195,388.7
51590,51195,237
51011,51195,215.3
51630,51195,171.1
51800,51195,46.6
51075,51195,158.2
51025,51195,124.7
51135,51195,157.6
51045,51195,349.8
51580,51195,305.1
51678,51195,264.6
51810,51195,23.9
51173,51195,425.4
51683,51195,220.3
51770,51195,309.5
51049,51195,185
51595,51195,99.9
51111,51195,178.9
51750,51195,360.7
51735,51195,48.4
51840,51195,287.3
51065,51195,188.1
51103,51195,134.8
51169,51195,532.1
51063,51195,347.8
51530,51195,268.9
51685,51195,221.8
51167,51191,180.8
51187,51191,194.9
51165,51191,132.6
51195,51191,218.1
51083,51191,143.4
51053,51191,214.6
51117,51191,186.4
51031,51191,98.8
51007,51191,172.5
51036,51191,254.5
51017,51191,103.3
51127,51191,245.6
51181,51191,273.5
51790,51191,99.7
51600,51191,253.3
51091,51191,153.2
51690,51191,79.9
51191,51191,142.9
51139,51191,168.6
51073,51191,277.6
51069,51191,202.4
51093,51191,279.7
51095,51191,264.3
51067,51191,46.6
51003,51191,126
51099,51191,264.8
51125,51191,133.4
51175,51191,281.5
51061,51191,227
51005,51191,83.5
51153,51191,243
51041,51191,224.4
51027,51191,201.8
51149,51191,242.8
51089,51191,78.4
51185,51191,145.4
51131,51191,371.8
51141,51191,103.5
51145,51191,200.9
51171,51191,164.3
51193,51191,290.1
51177,51191,216.9
51033,51191,244.3
51023,51191,43.2
51163,51191,68.9
51133,51191,301.2
51051,51191,236.7
51179,51191,247.2
51085,51191,209.1
51015,51191,101.9
51081,51191,250.7
51037,51191,160.1
51143,51191,98.2
51119,51191,275.3
51159,51191,273.7
51059,51191,256.7
51029,51191,150.9
51199,51191,280.9
51147,51191,145.3
51057,51191,267.8
51097,51191,260.7
51157,51191,197.8
51019,51191,53.1
51121,51191,46.4
51107,51191,245.1
51109,51191,182
51047,51191,198.6
51087,51191,214.5
51155,51191,58.8
51101,51191,241.2
51009,51191,107.1
51113,51191,178.6
51137,51191,187.2
51001,51191,417.1
51161,51191,11.8
51043,51191,209.7
51820,51191,106.9
51183,51191,249.9
51079,51191,160.8
51740,51191,307
51520,51191,156.7
51660,51191,122.5
51510,51191,275.9
51650,51191,293
51021,51191,99.3
