origin,dest,cost
51041100206,51700032126,145.5
51059481202,51700032126,14.6
51710004800,51700032126,232.5
51117930300,51700032126,251.5
51143010300,51700032126,294.4
51059421101,51700032126,29
51087200201,51700032126,135.3
51085320100,51700032126,117.9
51810040403,51700032126,232
51760010401,51700032126,126.9
51081880200,51700032126,211
51179010213,51700032126,63
51740211800,51700032126,236.1
51770002300,51700032126,259.9
51019030501,51700032126,285.9
51013100600,51700032126,18.7
51770002200,51700032126,265
51760061000,51700032126,135.6
51087200121,51700032126,135.9
51740212400,51700032126,238.8
51510201400,51700032126,30.1
51059482502,51700032126,20.9
51107611005,51700032126,29.7
51683910201,51700032126,38.5
51700032113,51700032126,197.7
51167030200,51700032126,444.1
51169030400,51700032126,469.8
51087200104,51700032126,134.7
51660000101,51700032126,143.7
51810046015,51700032126,249.1
51540000501,51700032126,153.6
51680001100,51700032126,233.7
51059471402,51700032126,14.4
51059421400,51700032126,32.4
51059422101,51700032126,32.4
51053840100,51700032126,192.6
51760021000,51700032126,138.8
51760030500,51700032126,133
51059421701,51700032126,37.1
51059452302,51700032126,17.5
51810046013,51700032126,245
51013101402,51700032126,16.8
51710004001,51700032126,230.6
51840000100,51700032126,83.7
51059421102,51700032126,27.8
51185020700,51700032126,428.7
51059431002,51700032126,28.5
51059420600,51700032126,32.2
51059450200,51700032126,14
51740211500,51700032126,235.2
51161030203,51700032126,254
51740212000,51700032126,236.3
51019030402,51700032126,269.2
51113930100,51700032126,117.1
51059415401,51700032126,36.4
51011040300,51700032126,242.4
51049930100,51700032126,192.9
51810044004,51700032126,250.4
51177020108,51700032126,74.1
51111930200,51700032126,246.8
51111930100,51700032126,227
51067020500,51700032126,294.6
51710003600,51700032126,229.3
51550020600,51700032126,238.6
51041101009,51700032126,161.2
51540000201,51700032126,152.6
51057950600,51700032126,127.3
51670820100,51700032126,156.2
51710005701,51700032126,223
51059440201,51700032126,11.5
51740212701,51700032126,234.7
51710004900,51700032126,231.5
51810045428,51700032126,255.5
51710002600,51700032126,230.4
51003010100,51700032126,181.4
51059482302,51700032126,15
51760071002,51700032126,137.5
51760060900,51700032126,143.3
51059432300,51700032126,27.2
51059432702,51700032126,30.4
51760030200,51700032126,132.9
51510200701,51700032126,28.5
51033030202,51700032126,124.6
51740210300,51700032126,235
51510200103,51700032126,24.4
51710007002,51700032126,233.7
51133020300,51700032126,199
51059432701,51700032126,30
51059452400,51700032126,20.2
51740212600,51700032126,237.8
51059415900,51700032126,39.2
51760070802,51700032126,142.7
51059451200,51700032126,21.5
51059440701,51700032126,21.4
51013103200,51700032126,22.6
51810045603,51700032126,239.2
51013102802,51700032126,24
51059422301,51700032126,26.3
51059470600,51700032126,8.9
51059470800,51700032126,9.9
51179010405,51700032126,75.2
51760010800,51700032126,130.8
51091970100,51700032126,220.7
51510200702,51700032126,29.5
51009010200,51700032126,220.6
51157950100,51700032126,97.9
51059432600,51700032126,30.4
51041100817,51700032126,154.3
51059481201,51700032126,15.6
51033030201,51700032126,115.6
51059460900,51700032126,7.1
51760010500,51700032126,128.9
51730810700,51700032126,162.9
51041100210,51700032126,142.9
51041100209,51700032126,144.1
51710003700,51700032126,230.8
51153901229,51700032126,52.7
51700032126,51700032126,198.8
51660000401,51700032126,146.3
51700031701,51700032126,206
51710003501,51700032126,230.7
51730810400,51700032126,162
51051040400,51700032126,482.2
51059460701,51700032126,12.8
51800065300,51700032126,226.3
51710005903,51700032126,230.7
51175200100,51700032126,208.7
51690000400,51700032126,328.6
51740212100,51700032126,236.3
51177020111,51700032126,78.9
51059451300,51700032126,18.8
51125950300,51700032126,214.5
51710001400,51700032126,226
51041100807,51700032126,148.4
51760040700,51700032126,129.1
51059421800,51700032126,34.8
51059481102,51700032126,17.1
51510200407,51700032126,27.3
51710006902,51700032126,236.7
51097950400,51700032126,149
51107611013,51700032126,32.5
51101950101,51700032126,137.4
51061930304,51700032126,55.8
51600300500,51700032126,19.9
51087200411,51700032126,130.3
51700032002,51700032126,203.1
51840000302,51700032126,91.3
51810046012,51700032126,243.9
51059420201,51700032126,27
51087200123,51700032126,140.3
51041100205,51700032126,144.2
51041100930,51700032126,148.4
51161030801,51700032126,272.2
51109950300,51700032126,139.1
51059490101,51700032126,29.2
51101950200,51700032126,153.8
51059460702,51700032126,10.9
51510200802,51700032126,30.2
51760040500,51700032126,130.9
51013102302,51700032126,20.4
51107611010,51700032126,31.3
51107611802,51700032126,34.2
51059480501,51700032126,16.5
51683910202,51700032126,39.1
51041100804,51700032126,145.4
51510201500,51700032126,30.3
51087200106,51700032126,137.3
51137110102,51700032126,111.2
51540000202,51700032126,152.4
51800075204,51700032126,227
51071930200,51700032126,332.6
51107610504,51700032126,37.9
51153900202,51700032126,38.5
51059420203,51700032126,28.3
51540000302,51700032126,154.3
51013101100,51700032126,13.5
51163930100,51700032126,206.6
51013102701,51700032126,22
51760041000,51700032126,131.9
51013102600,51700032126,22.4
51740213101,51700032126,226
51650010701,51700032126,212.7
51630000302,51700032126,74
51087200122,51700032126,140.6
51041100922,51700032126,144
51700031300,51700032126,211.3
51171040202,51700032126,125.6
51059430201,51700032126,26.2
51031020300,51700032126,246
51031020402,51700032126,246.3
51710006901,51700032126,233.6
51550020906,51700032126,243.9
51810045803,51700032126,242.5
51810046224,51700032126,243.2
51730810600,51700032126,163.5
51059452000,51700032126,18.9
51810045810,51700032126,245.1
51131990100,51700032126,283.6
51510201204,51700032126,28.6
51600300100,51700032126,17.3
51063920200,51700032126,335.8
51183870202,51700032126,189.3
51810041002,51700032126,239.2
51153900501,51700032126,39.9
51710002100,51700032126,227.5
51113930200,51700032126,126.1
51810045808,51700032126,243.1
51059491502,51700032126,28
51059415700,51700032126,40.9
51670820500,51700032126,159.4
51121021500,51700032126,296.6
51650010601,51700032126,209.7
51059492300,51700032126,32.9
51153901005,51700032126,53.2
51153901415,51700032126,43.8
51820003400,51700032126,182
51087200125,51700032126,133.1
51700032124,51700032126,192.5
51760030100,51700032126,131.8
51059481000,51700032126,18.3
51580060100,51700032126,254.3
51161031101,51700032126,264.5
51059471100,51700032126,10.3
51147930300,51700032126,230.4
51059450500,51700032126,16.4
51710005100,51700032126,234.3
51710000500,51700032126,221.6
51059460600,51700032126,10.6
51059432401,51700032126,29.3
51680001400,51700032126,238.2
51013101500,51700032126,18.9
51001090600,51700032126,335
51085321202,51700032126,131.2
51700032127,51700032126,201.8
51141030100,51700032126,348.6
51141030200,51700032126,405.7
51059491202,51700032126,27
51700032114,51700032126,199.4
51059451000,51700032126,19.1
51013103700,51700032126,26.2
51087200906,51700032126,124.1
51059450702,51700032126,17.4
51059421001,51700032126,26.8
51059432100,51700032126,27.7
51027010100,51700032126,478.7
51175200400,51700032126,234.4
51175200200,51700032126,221.6
51013101803,51700032126,19.8
51107611300,51700032126,19.2
51550020300,51700032126,235.9
51059430102,51700032126,25.8
51107610702,51700032126,50
51510200403,51700032126,25.4
51087200409,51700032126,128.9
51059471201,51700032126,8.2
51059461901,51700032126,16.6
51710006604,51700032126,228.1
51710003100,51700032126,227.1
51059432201,51700032126,27.5
51700032132,51700032126,195.6
51700032005,51700032126,203.1
51153901009,51700032126,49.8
51810045415,51700032126,246.4
51003010602,51700032126,149.7
51710001600,51700032126,225
51059491801,51700032126,25.1
51570830500,51700032126,159.6
51087200802,51700032126,125
51177020107,51700032126,82.3
51047930400,51700032126,91.7
51660000204,51700032126,143.5
51550021011,51700032126,250.7
51013102002,51700032126,17.4
51800075404,51700032126,233.1
51059460300,51700032126,8.2
51710005601,51700032126,224.8
51053840400,51700032126,165.3
51059451501,51700032126,18.8
51059471304,51700032126,12.6
51059452502,51700032126,23.2
51013103602,51700032126,24.6
51003010903,51700032126,152.2
51810044808,51700032126,247.9
51059420400,51700032126,29.9
51087200413,51700032126,131.2
51041100934,51700032126,152.2
51059461000,51700032126,9.5
51059452301,51700032126,16.2
51740213200,51700032126,236
51095080205,51700032126,179.9
51059421500,51700032126,37.8
51125950100,51700032126,201
51147930203,51700032126,216.1
51710006200,51700032126,230.7
51510200801,51700032126,30.2
51550021010,51700032126,248.6
51013102902,51700032126,25.4
51059482201,51700032126,14.9
