lon,lat,GEOID,capacity
-77.2447101,38.9261106,51790,99
-77.4042775,37.2285345,51153,7
-76.4260284,37.0267085,51041,8
-77.2967819,38.974284,51085,36
-82.192414,36.6052212,51059,37
-75.9909967,36.892747,51059,42
-76.209435,36.8691966,51059,28
-77.142377,38.8024076,51059,101
-77.9950593,38.4712006,51059,26
-77.3367049,38.9496995,51059,56
-77.5936729,37.4383981,51059,75
-76.5044263,37.1144267,51047,59
-77.5507114,37.6340785,51087,75
-76.1355286,36.8385269,51087,125
-77.5331453,37.6289618,51520,104
-77.4744284,37.7578235,51650,3
-77.1030521,38.8864449,51730,8
-76.4573182,37.0836891,51680,39
-77.1600716,38.873425,51710,152
-79.9576808,37.2553112,51710,132
-77.2225269,38.9168662,51700,197
-77.2932655,38.6353403,51700,143
-76.1894995,36.7792797,51700,199
-79.070883,38.1495202,51013,30
-76.5640406,36.7394841,51800,12
-79.1784848,37.3651374,51810,138
-76.1373405,36.8451753,51810,165
-77.2342602,38.9143548,51810,126
-76.2342426,36.8661783,51810,436
-76.5136476,37.1456729,51810,8
-76.0744531,36.742639,51770,52
