name,address,phone,website,type,degrees,campus_setting,campus_housing,student_population,student_teacher_ratio
Chamberlain University-Virginia,"Chamberlain University-Virginia1951 Kidwell Drive, Vienna, Virginia 22182",(703) 416-7300,www.chamberlain.edu/,"4-year, Private for-profit",Bachelor's degree,Suburb: Large,No,622 (all undergraduate),13 to 1
Christopher Newport University,"Christopher Newport University1 Avenue of the Arts, Newport News, Virginia 23606-3072",(757) 594-7000,cnu.edu/,"4-year, Public",Bachelor's degreeMaster's degree,City: Midsize,Yes,"4,868 (4,758 undergraduate)",14 to 1
DeVry University-Virginia,"DeVry University-Virginia1400 Crystal Dr, Ste 120, Arlington, Virginia 22202",(703) 414-4000,www.devry.edu/,"4-year, Private for-profit",Associate's degreeBachelor's degreePostbaccalaureate certificateMaster's degree,City: Midsize,No,188 (118 undergraduate),9 to 1
Divine Mercy University,"Divine Mercy University45154 Underwood Lane, Sterling, Virginia 20166",(703) 416-1441,www.divinemercy.edu/,"4-year, Private not-for-profit",Master's degreeDoctor's degree - professional practice,Suburb: Large,No,392 (0 undergraduate),
Eastern Mennonite University,"Eastern Mennonite University1200 Park Rd, Harrisonburg, Virginia 22802-2462",(540) 432-4000,emu.edu/,"4-year, Private not-for-profit",One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - professional practice,City: Small,Yes,"1,394 (896 undergraduate)",10 to 1
Eastern Virginia Medical School,"Eastern Virginia Medical School700w. Olney, Norfolk, Virginia 23507",(757) 446-8422,www.evms.edu/,"4-year, Public",Postbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarshipDoctor's degree - professional practice,City: Midsize,Yes,"1,289 (0 undergraduate)",
ECPI University,"ECPI University5555 Greenwich Rd, Virginia Beach, Virginia 23462",(757) 490-9090,www.ecpi.edu/,"4-year, primarily associate's, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreeMaster's degree,City: Large,No,"14,353 (13,983 undergraduate)",16 to 1
ECPI University - Culinary Institute of Virginia - Newport News,"ECPI University - Culinary Institute of Virginia - Newport News11850 Merchants Walk, Newport News, Virginia 23606-3320",(844) 611-0530,www.ecpi.edu/,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degree,City: Midsize,No,ECPI University (Parent):ECPI University - College of Nursing - OrlandoECPI University - Culinary Institute of Virginia - Newport NewsECPI University - RoanokeECPI University - San AntonioECPI University-CharlestonECPI University-CharlotteECPI University-ColumbiaECPI University-ConcordECPI University-Culinary Institute of VirginiaECPI University-GreensboroECPI University-GreenvilleECPI University-InnsbrookECPI University-ManassasECPI University-Newport NewsECPI University-RaleighECPI University-Richmond SouthECPI University-Richmond WestECPI University-Virginia Beach Health Sciences,
ECPI University - Roanoke,"ECPI University - Roanoke5234 Airport Rd NW, Roanoke, Virginia 24012-1603",(540) 563-8000,www.ecpi.edu/,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degree,City: Small,No,ECPI University (Parent):ECPI University - College of Nursing - OrlandoECPI University - Culinary Institute of Virginia - Newport NewsECPI University - RoanokeECPI University - San AntonioECPI University-CharlestonECPI University-CharlotteECPI University-ColumbiaECPI University-ConcordECPI University-Culinary Institute of VirginiaECPI University-GreensboroECPI University-GreenvilleECPI University-InnsbrookECPI University-ManassasECPI University-Newport NewsECPI University-RaleighECPI University-Richmond SouthECPI University-Richmond WestECPI University-Virginia Beach Health Sciences,
ECPI University-Culinary Institute of Virginia,"ECPI University-Culinary Institute of Virginia2428 Alameda Ave Ste 106, Norfolk, Virginia 23513-1603",(757) 858-2433,www.ecpi.edu/college-of-culinary-arts,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degree,City: Midsize,No,ECPI University (Parent):ECPI University - College of Nursing - OrlandoECPI University - Culinary Institute of Virginia - Newport NewsECPI University - RoanokeECPI University - San AntonioECPI University-CharlestonECPI University-CharlotteECPI University-ColumbiaECPI University-ConcordECPI University-Culinary Institute of VirginiaECPI University-GreensboroECPI University-GreenvilleECPI University-InnsbrookECPI University-ManassasECPI University-Newport NewsECPI University-RaleighECPI University-Richmond SouthECPI University-Richmond WestECPI University-Virginia Beach Health Sciences,
ECPI University-Innsbrook,"ECPI University-Innsbrook4305 Cox Rd Ste 100, Glen Allen, Virginia 23060-1603",(804) 934-0100,www.ecpi.edu/,"4-year, Private for-profit",Associate's degreeBachelor's degreeMaster's degree,Suburb: Large,No,ECPI University (Parent):ECPI University - College of Nursing - OrlandoECPI University - Culinary Institute of Virginia - Newport NewsECPI University - RoanokeECPI University - San AntonioECPI University-CharlestonECPI University-CharlotteECPI University-ColumbiaECPI University-ConcordECPI University-Culinary Institute of VirginiaECPI University-GreensboroECPI University-GreenvilleECPI University-InnsbrookECPI University-ManassasECPI University-Newport NewsECPI University-RaleighECPI University-Richmond SouthECPI University-Richmond WestECPI University-Virginia Beach Health Sciences,
ECPI University-Manassas,"ECPI University-Manassas10021 Balls Ford Rd Ste 100, Manassas, Virginia 20109-1603",(703) 330-5300,www.ecpi.edu/,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degreeMaster's degree,Suburb: Large,No,ECPI University (Parent):ECPI University - College of Nursing - OrlandoECPI University - Culinary Institute of Virginia - Newport NewsECPI University - RoanokeECPI University - San AntonioECPI University-CharlestonECPI University-CharlotteECPI University-ColumbiaECPI University-ConcordECPI University-Culinary Institute of VirginiaECPI University-GreensboroECPI University-GreenvilleECPI University-InnsbrookECPI University-ManassasECPI University-Newport NewsECPI University-RaleighECPI University-Richmond SouthECPI University-Richmond WestECPI University-Virginia Beach Health Sciences,
ECPI University-Newport News,"ECPI University-Newport News1001 Omni Blvd Ste 100, Newport News, Virginia 23606",(757) 849-0548,www.ecpi.edu/,"4-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreeMaster's degree,City: Midsize,No,ECPI University (Parent):ECPI University - College of Nursing - OrlandoECPI University - Culinary Institute of Virginia - Newport NewsECPI University - RoanokeECPI University - San AntonioECPI University-CharlestonECPI University-CharlotteECPI University-ColumbiaECPI University-ConcordECPI University-Culinary Institute of VirginiaECPI University-GreensboroECPI University-GreenvilleECPI University-InnsbrookECPI University-ManassasECPI University-Newport NewsECPI University-RaleighECPI University-Richmond SouthECPI University-Richmond WestECPI University-Virginia Beach Health Sciences,
ECPI University-Richmond South,"ECPI University-Richmond South800 Moorefield Park Dr Ste 100, Richmond, Virginia 23236-1603",(804) 330-5533,www.ecpi.edu/,"4-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreeMaster's degree,Suburb: Large,No,ECPI University (Parent):ECPI University - College of Nursing - OrlandoECPI University - Culinary Institute of Virginia - Newport NewsECPI University - RoanokeECPI University - San AntonioECPI University-CharlestonECPI University-CharlotteECPI University-ColumbiaECPI University-ConcordECPI University-Culinary Institute of VirginiaECPI University-GreensboroECPI University-GreenvilleECPI University-InnsbrookECPI University-ManassasECPI University-Newport NewsECPI University-RaleighECPI University-Richmond SouthECPI University-Richmond WestECPI University-Virginia Beach Health Sciences,
ECPI University-Richmond West,"ECPI University-Richmond West2809 Emerywood Pkwy Ste 300, Richmond, Virginia 23294-1603",(804) 521-5999,www.ecpi.edu/,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degree,Suburb: Large,No,ECPI University (Parent):ECPI University - College of Nursing - OrlandoECPI University - Culinary Institute of Virginia - Newport NewsECPI University - RoanokeECPI University - San AntonioECPI University-CharlestonECPI University-CharlotteECPI University-ColumbiaECPI University-ConcordECPI University-Culinary Institute of VirginiaECPI University-GreensboroECPI University-GreenvilleECPI University-InnsbrookECPI University-ManassasECPI University-Newport NewsECPI University-RaleighECPI University-Richmond SouthECPI University-Richmond WestECPI University-Virginia Beach Health Sciences,
ECPI University-Virginia Beach Health Sciences,"ECPI University-Virginia Beach Health Sciences5501 Greenwich Rd Ste 100, Virginia Beach, Virginia 23462-1603",(757) 497-8400,www.ecpi.edu/,"4-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degree,City: Large,No,ECPI University (Parent):ECPI University - College of Nursing - OrlandoECPI University - Culinary Institute of Virginia - Newport NewsECPI University - RoanokeECPI University - San AntonioECPI University-CharlestonECPI University-CharlotteECPI University-ColumbiaECPI University-ConcordECPI University-Culinary Institute of VirginiaECPI University-GreensboroECPI University-GreenvilleECPI University-InnsbrookECPI University-ManassasECPI University-Newport NewsECPI University-RaleighECPI University-Richmond SouthECPI University-Richmond WestECPI University-Virginia Beach Health Sciences,
Edward Via College of Osteopathic Medicine,"Edward Via College of Osteopathic Medicine2265 Kraft Dr, Blacksburg, Virginia 24060",(540) 231-4000,www.vcom.edu/,"4-year, Private not-for-profit",Doctor's degree - professional practice,City: Small,No,"2,123 (0 undergraduate)",
Emory & Henry College,"Emory & Henry College30461 Garnand Drive, Emory, Virginia 24327-0947",(276) 944-4121,www.ehc.edu/,"4-year, Private not-for-profit",Bachelor's degreeMaster's degreeDoctor's degree - professional practice,Rural: Fringe,Yes,"1,230 (956 undergraduate)",10 to 1
Fairfax University of America,"Fairfax University of America4401 Village Drive, Fairfax, Virginia 22030-0000",(703) 591-7042,www.fxua.edu/,"4-year, Private not-for-profit",One but less than two years certificateBachelor's degreePostbaccalaureate certificateMaster's degree,Suburb: Large,No,65 (17 undergraduate),4 to 1
Ferrum College,"Ferrum College215 Ferrum Mountain Road, Ferrum, Virginia 24088-9000",(540) 365-2121,www.ferrum.edu/,"4-year, Private not-for-profit",Bachelor's degreeMaster's degree,Rural: Distant,Yes,972 (962 undergraduate),13 to 1
George Mason University,"George Mason University4400 University Dr, Fairfax, Virginia 22030-4444",(703) 993-1000,www2.gmu.edu/,"4-year, Public",Bachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarshipDoctor's degree - professional practice,Suburb: Large,Yes,"38,541 (27,104 undergraduate)",17 to 1
Hampden-Sydney College,"Hampden-Sydney CollegeCollege Road, Hampden-Sydney, Virginia 23943-0128",(434) 223-6000,www.hsc.edu/,"4-year, Private not-for-profit",Bachelor's degree,Rural: Distant,Yes,881 (all undergraduate),9 to 1
Hampton University,"Hampton University200 William R. Harvey Way, Hampton, Virginia 23668-0099",(757) 727-5000,www.hamptonu.edu/,"4-year, Private not-for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificateBachelor's degreeMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,City: Midsize,Yes,"3,516 (3,063 undergraduate)",15 to 1
Hollins University,"Hollins University7916 Williamson Rd NW, Roanoke, Virginia 24020",(540) 362-6000,www.hollins.edu/,"4-year, Private not-for-profit",Bachelor's degreeMaster's degreePost-master's certificate,Suburb: Midsize,Yes,795 (687 undergraduate),9 to 1
IGlobal University,"IGlobal University8133 Leesburg Pike #230, Vienna, Virginia 22182-2734",(703) 941-2020,www.igu.edu/,"4-year, Private for-profit",Less than one year certificateBachelor's degreeMaster's degree,Suburb: Large,No,254 (46 undergraduate),8 to 1
James Madison University,"James Madison University800 South Main Street, Harrisonburg, Virginia 22807",(540) 568-6211,www.jmu.edu/,"4-year, Public",Bachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,City: Small,Yes,"21,594 (19,727 undergraduate)",17 to 1
Liberty University,"Liberty University1971 University Blvd, Lynchburg, Virginia 24515",(434) 582-2000,www.liberty.edu/,"4-year, Private not-for-profit",Less than one year certificateAssociate's degreeTwo but less than 4 years certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,City: Small,Yes,"93,349 (47,988 undergraduate)",17 to 1
Longwood University,"Longwood University201 High St, Farmville, Virginia 23909",(434) 395-2000,www.longwood.edu/,"4-year, Public",Bachelor's degreeMaster's degreePost-master's certificate,Town: Remote,Yes,"4,841 (3,940 undergraduate)",15 to 1
Lotus School of Integrated Professions,"Lotus School of Integrated Professions10960 Three Chopt Road, Suite A-D, Henrico, Virginia 23233",(804) 290-0980,lotusva.com/,"4-year, Private for-profit",Less than one year certificateMaster's degree,Suburb: Large,No,76 (all undergraduate),6 to 1
Mary Baldwin University,"Mary Baldwin University318 Prospect Street, Staunton, Virginia 24401",(540) 887-7019,www.marybaldwin.edu/,"4-year, Private not-for-profit",Bachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - professional practice,City: Small,Yes,"2,110 (1,477 undergraduate)",11 to 1
Marymount University,"Marymount University2807 N Glebe Rd, Arlington, Virginia 22207-4299",(703) 522-5600,www.marymount.edu/,"4-year, Private not-for-profit",Less than one year certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,City: Midsize,Yes,"3,294 (2,041 undergraduate)",14 to 1
Norfolk State University,"Norfolk State University700 Park Avenue, Norfolk, Virginia 23504-8000",(757) 823-8600,www.nsu.edu/,"4-year, Public",Associate's degreeBachelor's degreeMaster's degreeDoctor's degree - research/scholarship,City: Midsize,Yes,"5,457 (4,992 undergraduate)",16 to 1
Old Dominion University,"Old Dominion University5115 Hampton Blvd, Norfolk, Virginia 23529",(757) 683-3000,www.odu.edu/,"4-year, Public",Less than one year certificateOne but less than two years certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,City: Midsize,Yes,"24,286 (19,622 undergraduate)",18 to 1
Patrick Henry College,"Patrick Henry College10 Patrick Henry Circle, Purcellville, Virginia 20132",(540) 338-1776,www.phc.edu/,"4-year, Private not-for-profit",Bachelor's degree,Town: Fringe,Yes,340 (all undergraduate),12 to 1
Radford University,"Radford University801 East Main St., Radford, Virginia 24142",(540) 831-5000,www.radford.edu/,"4-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practiceDoctor's degree - other,Suburb: Small,Yes,"10,695 (7,307 undergraduate)",14 to 1
Randolph College,"Randolph College2500 Rivermont Ave, Lynchburg, Virginia 24503-1555",(434) 947-8000,www.randolphcollege.edu/,"4-year, Private not-for-profit",Bachelor's degreePostbaccalaureate certificateMaster's degree,City: Small,Yes,566 (508 undergraduate),8 to 1
Randolph-Macon College,"Randolph-Macon College204 Henry St, Ashland, Virginia 23005-5505",(804) 752-7200,www.rmc.edu/,"4-year, Private not-for-profit",Bachelor's degree,Suburb: Large,Yes,"1,554 (all undergraduate)",11 to 1
Regent University,"Regent University1000 Regent University Dr, Virginia Beach, Virginia 23464",(757) 352-4127,www.regent.edu/,"4-year, Private not-for-profit",Associate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,City: Large,Yes,"10,483 (4,533 undergraduate)",19 to 1
Riverside College of Health Careers,"Riverside College of Health Careers316 Main Street, Newport News, Virginia 23601",(757) 240-2200,riverside.edu/,"4-year, primarily associate's, Private not-for-profit",One but less than two years certificateAssociate's degreeBachelor's degree,City: Midsize,No,303 (all undergraduate),11 to 1
Roanoke College,"Roanoke College221 College Lane, Salem, Virginia 24153-3794",(540) 375-2500,www.roanoke.edu/,"4-year, Private not-for-profit",Bachelor's degree,Suburb: Midsize,Yes,"1,920 (all undergraduate)",11 to 1
Sentara College of Health Sciences,"Sentara College of Health Sciences1441 Crossways Blvd, Suite 105, Chesapeake, Virginia 23320",(757) 388-2900,www.sentara.edu/,"4-year, Private not-for-profit",Less than one year certificateAssociate's degreeBachelor's degreeMaster's degree,Suburb: Large,No,341 (275 undergraduate),9 to 1
Shenandoah University,"Shenandoah University1460 University Dr, Winchester, Virginia 22601-5195",(540) 665-4500,www.su.edu/,"4-year, Private not-for-profit",Less than one year certificateOne but less than two years certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,City: Small,Yes,"4,174 (2,267 undergraduate)",10 to 1
South University-Richmond,"South University-Richmond2151 Old Brick Rd, Glen Allen, Virginia 23060",(804) 727-6800,"www.southuniversity.edu/richmond#location=richmond, va","4-year, Private for-profit",Associate's degreeBachelor's degreeMaster's degreePost-master's certificate,Suburb: Large,No,412 (289 undergraduate),9 to 1
South University-Virginia Beach,"South University-Virginia Beach301 Bendix Rd, Ste 100, Virginia Beach, Virginia 23452",(757) 493-6900,"www.southuniversity.edu/virginia-beach#location=virginia beach, va","4-year, Private for-profit",Associate's degreeBachelor's degreeMaster's degreePost-master's certificate,City: Large,No,403 (325 undergraduate),10 to 1
Southern Virginia University,"Southern Virginia University1 University Hill Drive, Buena Vista, Virginia 24416",(540) 261-8400,www.svu.edu/,"4-year, Private not-for-profit",Bachelor's degree,Town: Distant,Yes,"1,140 (all undergraduate)",17 to 1
Stratford University,"Stratford University2900 Eisenhower Avenue, Alexandria, Virginia 22314",(703) 539-6890,www.stratford.edu/,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degreeMaster's degree,City: Midsize,No,"1,947 (1,682 undergraduate)",9 to 1
Strayer University-Alexandria Campus,"Strayer University-Alexandria Campus2730 Eisenhower Ave, Alexandria, Virginia 22314",(877) 445-7180,www.strayer.edu/campus-locations/virginia/alexandria,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degree,City: Midsize,No,Strayer University-Virginia (Parent):Strayer University-Alexandria CampusStrayer University-Chesapeake CampusStrayer University-Chesterfield CampusStrayer University-Fredericksburg CampusStrayer University-Henrico CampusStrayer University-Loudoun CampusStrayer University-Manassas CampusStrayer University-Newport News CampusStrayer University-Virginia Beach CampusStrayer University-Woodbridge Campus,
Strayer University-Chesapeake Campus,"Strayer University-Chesapeake Campus676 Independence Parkway Suite 300, Chesapeake, Virginia 23320",(877) 445-7180,www.strayer.edu/campus-locations/virginia/chesapeake,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degree,Suburb: Large,No,Strayer University-Virginia (Parent):Strayer University-Alexandria CampusStrayer University-Chesapeake CampusStrayer University-Chesterfield CampusStrayer University-Fredericksburg CampusStrayer University-Henrico CampusStrayer University-Loudoun CampusStrayer University-Manassas CampusStrayer University-Newport News CampusStrayer University-Virginia Beach CampusStrayer University-Woodbridge Campus,
Strayer University-Chesterfield Campus,"Strayer University-Chesterfield Campus15521 Midlothian Turnpike Suite 401, Midlothian, Virginia 23113",(877) 445-7180,www.strayer.edu/campus-locations/virginia/chesterfield,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degree,Rural: Fringe,No,Strayer University-Virginia (Parent):Strayer University-Alexandria CampusStrayer University-Chesapeake CampusStrayer University-Chesterfield CampusStrayer University-Fredericksburg CampusStrayer University-Henrico CampusStrayer University-Loudoun CampusStrayer University-Manassas CampusStrayer University-Newport News CampusStrayer University-Virginia Beach CampusStrayer University-Woodbridge Campus,
Strayer University-Fredericksburg Campus,"Strayer University-Fredericksburg Campus150 Riverside Parkway Suite 100, Fredericksburg, Virginia 22406",(877) 445-7180,www.strayer.edu/campus-locations/virginia/fredericksburg,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degree,Rural: Fringe,No,Strayer University-Virginia (Parent):Strayer University-Alexandria CampusStrayer University-Chesapeake CampusStrayer University-Chesterfield CampusStrayer University-Fredericksburg CampusStrayer University-Henrico CampusStrayer University-Loudoun CampusStrayer University-Manassas CampusStrayer University-Newport News CampusStrayer University-Virginia Beach CampusStrayer University-Woodbridge Campus,
Strayer University-Henrico Campus,"Strayer University-Henrico Campus11501 Nuckols Road, Glen Allen, Virginia 23059",(877) 445-7180,www.strayer.edu/campus-locations/virginia/henrico,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degree,Suburb: Large,No,Strayer University-Virginia (Parent):Strayer University-Alexandria CampusStrayer University-Chesapeake CampusStrayer University-Chesterfield CampusStrayer University-Fredericksburg CampusStrayer University-Henrico CampusStrayer University-Loudoun CampusStrayer University-Manassas CampusStrayer University-Newport News CampusStrayer University-Virginia Beach CampusStrayer University-Woodbridge Campus,
Strayer University-Loudoun Campus,"Strayer University-Loudoun Campus45150 Russell Branch Pky Ste 200, Ashburn, Virginia 20147",(877) 445-7180,www.strayer.edu/campus-locations/virginia/loudoun,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degree,Suburb: Large,No,Strayer University-Virginia (Parent):Strayer University-Alexandria CampusStrayer University-Chesapeake CampusStrayer University-Chesterfield CampusStrayer University-Fredericksburg CampusStrayer University-Henrico CampusStrayer University-Loudoun CampusStrayer University-Manassas CampusStrayer University-Newport News CampusStrayer University-Virginia Beach CampusStrayer University-Woodbridge Campus,
Strayer University-Manassas Campus,"Strayer University-Manassas Campus9990 Battleview Pky, Manassas, Virginia 20109",(877) 445-7180,www.strayer.edu/campus-locations/virginia/manassas,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degree,Suburb: Large,No,Strayer University-Virginia (Parent):Strayer University-Alexandria CampusStrayer University-Chesapeake CampusStrayer University-Chesterfield CampusStrayer University-Fredericksburg CampusStrayer University-Henrico CampusStrayer University-Loudoun CampusStrayer University-Manassas CampusStrayer University-Newport News CampusStrayer University-Virginia Beach CampusStrayer University-Woodbridge Campus,
Strayer University-Newport News Campus,"Strayer University-Newport News Campus99 Old Oyster Point Road, Unit 1, Newport News, Virginia 23602",(877) 445-7180,www.strayer.edu/campus-locations/virginia/newport-news,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degree,City: Midsize,No,Strayer University-Virginia (Parent):Strayer University-Alexandria CampusStrayer University-Chesapeake CampusStrayer University-Chesterfield CampusStrayer University-Fredericksburg CampusStrayer University-Henrico CampusStrayer University-Loudoun CampusStrayer University-Manassas CampusStrayer University-Newport News CampusStrayer University-Virginia Beach CampusStrayer University-Woodbridge Campus,
Strayer University-Virginia,"Strayer University-Virginia2121 15th Street N, Arlington, Virginia 22201",(877) 445-7180,www.strayer.edu/campus-locations/virginia/arlington,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degree,City: Midsize,No,"4,797 (3,819 undergraduate)","28 to 1View noteThough reported by campus, faculty members from online courses are drawn from the entire United States.  One hundred percent (100%) of Strayer students as of fall 2020 took all courses online.  As a whole, Strayer University's student to faculty ratio is 28:1."
