name,address,phone,website,type,degrees,campus_setting,campus_housing,student_population,student_teacher_ratio
American National University,"American National University1813 East Main Street, Salem, Virginia 24153",(540) 986-1800,www.an.edu/locations/,"4-year, primarily associate's, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreeMaster's degree,Suburb: Midsize,No,931 (810 undergraduate),39 to 1
Antioch College AG,"Antioch College AG1705 Todds Ln, Hampton, Virginia 23666",(757) 826-1883 x236,antiochcollegeag.edu/,"4-year, Private not-for-profit",One but less than two years certificateAssociate's degreeBachelor's degree,City: Midsize,No,35 (all undergraduate),5 to 1
Appalachian College of Pharmacy,"Appalachian College of Pharmacy1060 Dragon Road, Oakwood, Virginia 24631",(276) 498-4190 x5230,www.acp.edu/,"4-year, Private not-for-profit",Doctor's degree - professional practice,Rural: Remote,No,180 (0 undergraduate),
Appalachian School of Law,"Appalachian School of Law1169 Edgewater Drive, Grundy, Virginia 24614",(276) 935-4349 x1231,www.asl.edu/,"4-year, Private not-for-profit",Master's degreeDoctor's degree - professional practice,Rural: Remote,No,170 (0 undergraduate),
Averett University,"Averett University420 W Main St, Danville, Virginia 24541",(434) 791-5600,www.averett.edu/,"4-year, Private not-for-profit",Associate's degreeBachelor's degree,Town: Distant,Yes,887 (all undergraduate),12 to 1
Averett University-Non-Traditional Programs,"Averett University-Non-Traditional Programs420 W Main St, Danville, Virginia 24541",(800) 448-5233,gps.averett.edu/,"4-year, Private not-for-profit",Associate's degreeBachelor's degreeMaster's degreePost-master's certificate,Town: Distant,No,472 (196 undergraduate),9 to 1
Bluefield College,"Bluefield College3000 College Avenue, Bluefield, Virginia 24605",(276) 326-3682,www.bluefield.edu/,"4-year, Private not-for-profit",Associate's degreeBachelor's degreeMaster's degree,Town: Distant,Yes,965 (753 undergraduate),14 to 1
Bluefield College - Edward Via College of Osteopathic Medicine,"Bluefield College - Edward Via College of Osteopathic Medicine2265 Kraft Drive, Blacksburg, Virginia 24060-6832",(276) 326-3682,www.bluefield.edu/,"4-year, Private not-for-profit",Master's degree,City: Small,Bluefield College (Parent):Bluefield College - Edward Via College of Osteopathic Medicine,,
Bon Secours Memorial College of Nursing,"Bon Secours Memorial College of Nursing8550 Magellan Parkway Suite 1100, Richmond, Virginia 23227-1149",(804) 627-5300,www.bsmcon.edu/,"4-year, Private not-for-profit",Bachelor's degree,Suburb: Large,No,456 (all undergraduate),12 to 1
Bridgewater College,"Bridgewater College402 E College St, Bridgewater, Virginia 22812-1599",(540) 828-8000,www.bridgewater.edu/,"4-year, Private not-for-profit",Bachelor's degreeMaster's degree,Suburb: Small,Yes,"1,597 (1,552 undergraduate)",13 to 1
Bryant & Stratton College-Hampton,"Bryant & Stratton College-Hampton4410 East Claiborne Square, Suite 233, Hampton, Virginia 23666",(757) 896-6001,www.bryantstratton.edu/,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degree,City: Midsize,No,Bryant & Stratton College-Virginia Beach (Parent):Bryant & Stratton College-HamptonBryant & Stratton College-Richmond,
Bryant & Stratton College-Richmond,"Bryant & Stratton College-Richmond8141 Hull St Rd, North Chesterfield, Virginia 23235",(804) 745-2444,www.bryantstratton.edu/,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degree,Suburb: Large,No,Bryant & Stratton College-Virginia Beach (Parent):Bryant & Stratton College-HamptonBryant & Stratton College-Richmond,
Bryant & Stratton College-Virginia Beach,"Bryant & Stratton College-Virginia Beach301 Centre Pointe Dr, Virginia Beach, Virginia 23462",(757) 499-7900,www.bryantstratton.edu/,"4-year, primarily associate's, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degree,City: Large,No,"1,515 (all undergraduate)",18 to 1
Centra College,"Centra College905 Lakeside Dr., Suite A, Lynchburg, Virginia 24501",(434) 200-3070,www.centrahealth.com/ccon,"4-year, primarily associate's, Private not-for-profit",One but less than two years certificateAssociate's degreeBachelor's degree,City: Small,No,314 (all undergraduate),11 to 1
Centura College-Chesapeake,"Centura College-Chesapeake932 B Ventures Way, Chesapeake, Virginia 23320",(757) 549-2121,www.centuracollege.edu/campuses/chesapeake/,"4-year, primarily associate's, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degree,Suburb: Large,No,164 (all undergraduate),14 to 1
Centura College-Virginia Beach,"Centura College-Virginia Beach2697 Dean Dr. Ste. 100, Virginia Beach, Virginia 23452-7431",(757) 340-2121 x310,www.centuracollege.edu/campuses/virginia-beach/,"4-year, primarily associate's, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degree,City: Large,No,99 (all undergraduate),8 to 1
