origin,dest,cost
51167,51165,180.8
51187,51165,194.9
51165,51165,132.6
51195,51165,218.1
51083,51165,143.4
51053,51165,214.6
51117,51165,186.4
51031,51165,98.8
51007,51165,172.5
51036,51165,254.5
51017,51165,103.3
51127,51165,245.6
51181,51165,273.5
51790,51165,99.7
51600,51165,253.3
51091,51165,153.2
51690,51165,79.9
51191,51165,142.9
51139,51165,168.6
51073,51165,277.6
51069,51165,202.4
51093,51165,279.7
51095,51165,264.3
51067,51165,46.6
51003,51165,126
51099,51165,264.8
51125,51165,133.4
51175,51165,281.5
51061,51165,227
51005,51165,83.5
51153,51165,243
51041,51165,224.4
51027,51165,201.8
51149,51165,242.8
51089,51165,78.4
51185,51165,145.4
51131,51165,371.8
51141,51165,103.5
51145,51165,200.9
51171,51165,164.3
51193,51165,290.1
51177,51165,216.9
51033,51165,244.3
51023,51165,43.2
51163,51165,68.9
51133,51165,301.2
51051,51165,236.7
51179,51165,247.2
51085,51165,209.1
51015,51165,101.9
51081,51165,250.7
51037,51165,160.1
51143,51165,98.2
51119,51165,275.3
51159,51165,273.7
51059,51165,256.7
51029,51165,150.9
51199,51165,280.9
51147,51165,145.3
51057,51165,267.8
51097,51165,260.7
51157,51165,197.8
51019,51165,53.1
51121,51165,46.4
51107,51165,245.1
51109,51165,182
51047,51165,198.6
51087,51165,214.5
51155,51165,58.8
51101,51165,241.2
51009,51165,107.1
51113,51165,178.6
51137,51165,187.2
51001,51165,417.1
51161,51165,11.8
51043,51165,209.7
51820,51165,106.9
51183,51165,249.9
51079,51165,160.8
51740,51165,307
51520,51165,156.7
51660,51165,122.5
51510,51165,275.9
51650,51165,293
51021,51165,99.3
51730,51165,221.8
51610,51165,261.8
51197,51165,92.4
51680,51165,85.5
51710,51165,309.7
51700,51165,286
51540,51165,135.5
51013,51165,267.1
51550,51165,323.6
51670,51165,230
51035,51165,99.2
51115,51165,298.6
51077,51165,124.2
51640,51165,107.3
51775,51165,5.3
51620,51165,286.3
51830,51165,267
51570,51165,228
51720,51165,214
51760,51165,213.9
51105,51165,247.3
51071,51165,79.4
51590,51165,111.7
51011,51165,105.3
51630,51165,230.3
51800,51165,292.5
51075,51165,183.5
51025,51165,224.7
51135,51165,179.3
51045,51165,47.7
51580,51165,80.3
51678,51165,62.4
51810,51165,335.2
51173,51165,116
51683,51165,238.9
51770,51165,10.3
51049,51165,172.6
51595,51165,246.7
51111,51165,200.3
51750,51165,51.3
51735,51165,295.6
51840,51165,196.7
51065,51165,165.7
51103,51165,310.1
51169,51165,222.7
51063,51165,67.8
51530,51165,65.1
51685,51165,246.5
51167,51195,461.7
51187,51195,243.4
51165,51195,237.8
51195,51195,499
51083,51195,209.1
51053,51195,122.1
51117,51195,159.7
51031,51195,242.7
51007,51195,141.5
51036,51195,71.5
51017,51195,276.9
51127,51195,67.8
51181,51195,59.8
51790,51195,206
51600,51195,199.7
51091,51195,259.7
51690,51195,268.7
51191,51195,423.9
51139,51195,245.8
51073,51195,48.6
51069,51195,266.8
51093,51195,37
51095,51195,44.2
51067,51195,306.7
51003,51195,172.3
51099,51195,157.2
51125,51195,213.4
51175,51195,78.8
51061,51195,199.2
51005,51195,279.9
51153,51195,187.7
51041,51195,120.6
51027,51195,482.7
51149,51195,94.4
51089,51195,269.9
51185,51195,426.3
51131,51195,86.8
51141,51195,308.5
51145,51195,132.7
51171,51195,269.2
51193,51195,136.5
51177,51195,147.4
51033,51195,126.5
51023,51195,279.5
51163,51195,239.2
51133,51195,122.1
51051,51195,517.7
51179,51195,158.6
51085,51195,101.4
51015,51195,210.3
51081,51195,105.8
51037,51195,208
51143,51195,254.2
51119,51195,77.2
51159,51195,120.1
51059,51195,201.3
51029,51195,190.9
51199,51195,33.5
51147,51195,179.3
51057,51195,120.7
51097,51195,93.5
51157,51195,225.5
51019,51195,263
51121,51195,327.3
51107,51195,233.4
51109,51195,153
51047,51195,189
51087,51195,82.7
51155,51195,339.7
51101,51195,93
51009,51195,239.7
51113,51195,203.2
51137,51195,181.4
51001,51195,132.1
51161,51195,298.7
51043,51195,251.7
51820,51195,194.2
51183,51195,90
51079,51195,192.1
51740,51195,32.2
51520,51195,437.7
51660,51195,227.6
51510,51195,199.1
51650,51195,8
51021,51195,380.2
51730,51195,95.4
51610,51195,205.1
51197,51195,373.3
51680,51195,237.3
51710,51195,24.7
51700,51195,16.1
51540,51195,165
51013,51195,204.4
51550,51195,55.2
51670,51195,96.3
51035,51195,361.6
51115,51195,72
51077,51195,405.1
51640,51195,378.1
51775,51195,292.3
51620,51195,64.8
51830,51195,36.3
51570,51195,103
51720,51195,494.9
51760,51195,92.7
51105,51195,528.2
51071,51195,360.3
51590,51195,237.3
51011,51195,207.3
51630,51195,142.7
51800,51195,46.9
51075,51195,129.7
51025,51195,125.1
51135,51195,152.7
51045,51195,321.3
51580,51195,276.6
51678,51195,236.2
51810,51195,55.9
51173,51195,397
51683,51195,191.9
51770,51195,292.1
51049,51195,157.4
51595,51195,100.3
51111,51195,173.9
51750,51195,332.3
51735,51195,18.9
51840,51195,258.9
51065,51195,159.7
51103,51195,106.3
51169,51195,503.6
51063,51195,348.2
51530,51195,240.5
51685,51195,193.3
51167,51790,72
51187,51790,385.2
51165,51790,322.9
51195,51790,97
51083,51790,322.8
51053,51790,407.7
51117,51790,347.4
51031,51790,291.9
51007,51790,365.6
51036,51790,444.8
51017,51790,293.6
51127,51790,435.9
51181,51790,466.7
51790,51790,290
51600,51790,443.6
51091,51790,343.4
51690,51790,239.9
51191,51790,88.8
51139,51790,358.9
51073,51790,467.9
51069,51790,392.6
51093,51790,472.9
51095,51790,454.6
51067,51790,241.6
51003,51790,316.3
51099,51790,455.1
51125,51790,326.6
51175,51790,442.5
51061,51790,417.3
51005,51790,272.9
51153,51790,433.3
51041,51790,417.5
51027,51790,26.1
51149,51790,436
51089,51790,239
51185,51790,47.3
51131,51790,562.1
51141,51790,197.8
51145,51790,394
51171,51790,354.6
51193,51790,480.4
51177,51790,407.2
51033,51790,434.6
51023,51790,233.5
51163,51790,259.2
51133,51790,491.5
51051,51790,63.8
51179,51790,437.5
51085,51790,399.4
51015,51790,292.2
51081,51790,411.7
51037,51790,353.3
51143,51790,293.1
51119,51790,465.6
51159,51790,464
51059,51790,446.9
51029,51790,344
51199,51790,471.2
51147,51790,338.4
51057,51790,458.1
51097,51790,451
51157,51790,388.1
51019,51790,246.2
51121,51790,176.7
51107,51790,435.4
51109,51790,372.3
51047,51790,388.8
51087,51790,404.8
51155,51790,153.7
51101,51790,431.4
51009,51790,297.4
51113,51790,368.9
51137,51790,377.4
51001,51790,607.4
51161,51790,201.7
51043,51790,399.9
51820,51790,297.2
51183,51790,438.1
51079,51790,351.1
51740,51790,496.3
51520,51790,100.1
51660,51790,312.7
51510,51790,466.2
51650,51790,483.3
51021,51790,105.3
51730,51790,414.9
51610,51790,452.1
51197,51790,132.6
51680,51790,278.7
51710,51790,500
51700,51790,476.3
51540,51790,325.8
51013,51790,457.4
51550,51790,512.9
51670,51790,423.1
51035,51790,158.4
51115,51790,488.9
51077,51790,164.4
51640,51790,166.5
51775,51790,197.3
51620,51790,447.3
51830,51790,457.3
51570,51790,421.1
51720,51790,99.6
51760,51790,404.2
51105,51790,140.3
51071,51790,146.6
51590,51790,272.7
51011,51790,298.4
51630,51790,420.6
51800,51790,473.4
51075,51790,373.8
51025,51790,387.2
51135,51790,372.5
51045,51790,216.9
51580,51790,269.5
51678,51790,252.7
51810,51790,524.5
51173,51790,105.6
51683,51790,429.2
51770,51790,209.5
51049,51790,365.7
51595,51790,407.7
51111,51790,393.1
51750,51790,164.5
51735,51790,485.9
51840,51790,387
51065,51790,356
51103,51790,500.3
51169,51790,137.9
51063,51790,194.9
51530,51790,255.4
51685,51790,436.8
51167,51191,83.5
51187,51191,396.7
51165,51191,334.4
51195,51191,91.4
51083,51191,334.3
51053,51191,419.2
51117,51191,358.9
51031,51191,303.4
51007,51191,377.1
51036,51191,456.3
51017,51191,305.1
51127,51191,447.4
51181,51191,478.2
51790,51191,301.5
51600,51191,455.1
