geoid,region_name,3sfca_capacity,2sfca30_capacity,norm_3sfca,norm_2sfca,college_capacity
51001090100,"Census Tract 901, Accomack County, Virginia",0,0,0,0,NA
51001090200,"Census Tract 902, Accomack County, Virginia",0,0,0,0,NA
51001090300,"Census Tract 903, Accomack County, Virginia",0,0,0,0,NA
51001090400,"Census Tract 904, Accomack County, Virginia",0,0,0,0,NA
51001090500,"Census Tract 905, Accomack County, Virginia",0,0,0,0,NA
51001090600,"Census Tract 906, Accomack County, Virginia",0,0,0,0,NA
51001090700,"Census Tract 907, Accomack County, Virginia",0,0,0,0,NA
51001090800,"Census Tract 908, Accomack County, Virginia",0,0,0,0,NA
51001980100,"Census Tract 9801, Accomack County, Virginia",0,0,0,0,NA
51001980200,"Census Tract 9802, Accomack County, Virginia",0,0,0,0,NA
51001990100,"Census Tract 9901, Accomack County, Virginia",0,0,0,0,NA
51001990200,"Census Tract 9902, Accomack County, Virginia",NA,NA,NA,NA,NA
51003010100,"Census Tract 101, Albemarle County, Virginia",0.15864214601761586,0,0.7392331184210584,0,NA
51003010201,"Census Tract 102.01, Albemarle County, Virginia",1.4240021202057422,0.010353338915399425,6.63549727725569,1.1067010897126626,NA
51003010202,"Census Tract 102.02, Albemarle County, Virginia",2.659144542771466,0.03200122937487095,12.390955127819648,3.420712459111866,NA
51003010300,"Census Tract 103, Albemarle County, Virginia",2.5116749420372284,0.03200122937487095,11.703783303940174,3.420712459111866,NA
51003010401,"Census Tract 104.01, Albemarle County, Virginia",1.4240021202057422,0.010353338915399425,6.63549727725569,1.1067010897126626,NA
51003010402,"Census Tract 104.02, Albemarle County, Virginia",2.5116749420372284,0.03200122937487095,11.703783303940174,3.420712459111866,NA
51003010500,"Census Tract 105, Albemarle County, Virginia",2.5116749420372284,0.03200122937487095,11.703783303940174,3.420712459111866,NA
51003010601,"Census Tract 106.01, Albemarle County, Virginia",2.5116749420372284,0.03200122937487095,11.703783303940174,3.420712459111866,NA
51003010602,"Census Tract 106.02, Albemarle County, Virginia",2.5116749420372284,0.03200122937487095,11.703783303940174,3.420712459111866,NA
51003010700,"Census Tract 107, Albemarle County, Virginia",3.483319949306826,0.04706063143363375,16.231408444880955,5.03045949869392,NA
51003010800,"Census Tract 108, Albemarle County, Virginia",3.483319949306826,0.04706063143363375,16.231408444880955,5.03045949869392,NA
51003010901,"Census Tract 109.01, Albemarle County, Virginia",3.483319949306826,0.04706063143363375,16.231408444880955,5.03045949869392,NA
51003010902,"Census Tract 109.02, Albemarle County, Virginia",3.483319949306826,0.04706063143363375,16.231408444880955,5.03045949869392,NA
